,collectCount,commentCount,createTimeISO,likes,mentions0,mentions1,playCount,shareCount,text,videoMeta/duration,videoMeta/format
125,588,123,2024-06-24T18:19:05.000Z,17800,,,204100,241,rhode night nyc toasting opening pocket sized pop today launch pocket blush wait see space,0,
126,977,353,2024-06-24T16:32:51.000Z,30600,,,413300,635,meet pocket blush shade sprinkle warm pearly pink shade pick nyc pop,9,mp4
127,2663,550,2024-06-24T15:53:53.000Z,87900,,,1000000,9290,rhode pop nyc pocket sized pop officially opens today wait see space june 24th july 3rd 11am 7pm daily 127 greene st new york ny 10012,28,mp4
128,3027,1069,2024-06-23T23:49:57.000Z,118200,,,1100000,3491,toasting opening pocket sized pop launch pocket blush ca n't wait see space < 3,21,mp4
129,112300,1063,2024-06-23T18:56:33.000Z,736100,,,7100000,23300,pocket blush inspired mani,16,mp4
130,967,102,2024-06-23T17:32:15.000Z,20600,@RUBY,,283400,535,coral duo go,10,mp4
131,518,172,2024-06-22T19:48:52.000Z,11100,@Mikayla,,227000,242,nogueira pocket blush first impressions available rhodeskincom,84,mp4
132,176,53,2024-06-22T18:55:12.000Z,3767,@Sean,,126100,263,summer lip tint try garrette rhodeskincom,90,mp4
133,2876,275,2024-06-22T17:28:00.000Z,33300,,,343000,3841,come get new rhode essentials pocket sized pop nyc monday pocket blush summer peptide lip tints summer lip cases core skincare june 24th july 3rd 11am 7pm daily 127 greene st new york ny 10012,0,
134,2891,498,2024-06-22T16:08:42.000Z,97500,,,818800,6466,glaze city pocket sized pop opens nyc monday,15,mp4
135,901,88,2024-06-21T18:27:08.000Z,7061,,,195100,743,six little swatches pocket blush pocket rhodeskincom,15,mp4
136,1189,67,2024-06-21T16:20:20.000Z,10600,@Amaya♡,,218600,458,four monochromatic summer looks  duos pair new matching lip cases summer long available rhodeskincom,43,mp4
137,287,179,2024-06-20T22:19:19.000Z,6561,,,177300,151,little delivery pocket blush summer lip tints cases arrived,53,mp4
138,327,135,2024-06-20T16:33:47.000Z,5187,,,173300,258,summer lip cases arrived match phone lips cheeks summer long,0,
139,650,157,2024-06-20T16:28:20.000Z,12400,,,216500,496,hint tint summer summer peptide lip tints,47,mp4
140,1329,429,2024-06-20T16:05:41.000Z,30200,,,329000,1066,pocket blush arrived along summer peptide lip tints lip cases pocket rhodeskincom,28,mp4
141,1698,670,2024-06-20T02:44:48.000Z,46200,@Mia,,483900,912,moore tries summer lip tints four limited edition peptide lip tint shades packed high performance ingredients hydrate nourish plump subtle pop color arriving tomorrow june 20th 9am pt rhodeskincom,26,mp4
142,84,24,2024-06-20T02:13:44.000Z,2581,@Gary,,103200,31,thompson pocket blush new go cream blushes arrive tomorrow june 20th 9am pt rhodeskincom,121,mp4
143,384,42,2024-06-20T01:42:56.000Z,5277,@Carly,,123400,303,hint tint summer lip tint try arriving tomorrow june 20th 9am pt rhodeskincom,108,mp4
144,811,158,2024-06-19T21:14:51.000Z,34600,,,370700,308,peak camera roll pocket blush finally almost tomorrow 9am pt,26,mp4
145,1746,101,2024-06-19T20:53:34.000Z,64200,,,543400,377,bit bts pocket blush summer peptide lip tints cases launch tomorrow june 20th 9am pt rhodeskincom,16,mp4
146,201,32,2024-06-19T20:31:25.000Z,2622,@vanessanicolestern,,85100,72,made blush layers pocket blush shades piggy toasted teddy swipe lip tint shade salty tan,61,mp4
148,8849,1657,2024-06-18T22:52:16.000Z,312400,,,4000000,8427,hot pink summer hb matching summer lip case peptide lip tint shade shortcake arriving june 20th 9am pt,18,mp4
149,176,43,2024-06-18T18:38:50.000Z,2793,@zoekimkenealy,,89700,91,sunset blush  pocket blush finishing touches lip tint shade salty tan,39,mp4
150,91,34,2024-06-18T16:43:55.000Z,2564,@Alex,,66800,40,full look fits pocket consani wears coral duo spicy marg guava spritz,9,mp4
151,2282,141,2024-06-17T23:05:59.000Z,31700,@Alissajanay,,459500,1604,swatches four summer peptide lip tints arriving june 20th 9am pt,24,mp4
152,618,91,2024-06-17T21:06:25.000Z,34600,,,372600,342,dip guava spritz,10,mp4
153,134,33,2024-06-17T20:25:35.000Z,1841,@Mia,,77000,55,moore coral duo spicy marg guava spritz,30,mp4
154,326,47,2024-06-17T19:11:31.000Z,4880,,,74700,141,summertime guava spritz,9,mp4
155,897,60,2024-06-17T17:20:09.000Z,12800,@yodeebs,,180100,199,nails inspired pocket blush shade guava spritz,15,mp4
156,603,34,2024-06-17T16:27:27.000Z,4205,@Kelli,,94700,153,shadow blushing 101 anne sewell,86,mp4
157,369,68,2024-06-17T00:10:21.000Z,11600,,,121200,135,sleepy girl,0,
158,2835,285,2024-06-16T22:10:05.000Z,63100,,,793000,2814,packed high performance ingredients hydrate nourish plump subtle pop color see june 20th 9am pt,19,mp4
159,335,38,2024-06-16T21:39:40.000Z,4220,,,67600,97,sunshine salty tan,11,mp4
160,213,32,2024-06-16T19:36:47.000Z,3579,@walker_ash,,92400,67,pocket blush shade freckle skin prepped glazing milk glaze,42,mp4
